FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2AFROCUB.MID,1,2,AFC_0001,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:1-2
2AFROCUB.MID,3,4,AFC_0002,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:3-4
2AFROCUB.MID,5,6,AFC_0003,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:5-6
2AFROCUB.MID,7,8,AFC_0004,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:7-8
2AFROCUB.MID,9,10,AFC_0005,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:9-10
2AFROCUB.MID,11,12,AFC_0006,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:11-12
2AFROCUB.MID,13,14,AFC_0007,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:13-14
2AFROCUB.MID,15,16,AFC_0008,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:15-16
2AFROCUB.MID,17,18,AFC_0009,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:17-18
2AFROCUB.MID,19,20,,4/4,LEGACY,NO,AFC,16,NO,2,2AFROCUB.MID:19-20
2AFROCUB.MID,21,22,AFC_0010,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:21-22
2AFROCUB.MID,23,24,AFC_0011,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:23-24
2AFROCUB.MID,25,26,AFC_0012,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:25-26
2AFROCUB.MID,27,28,AFC_0013,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:27-28
2AFROCUB.MID,29,30,AFC_0014,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:29-30
2BALLAD.MID,1,2,BAL_0001,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:1-2
2BALLAD.MID,3,4,BAL_0002,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:3-4
2BALLAD.MID,5,6,BAL_0003,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:5-6
2BALLAD.MID,7,8,BAL_0004,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:7-8
2BALLAD.MID,9,10,BAL_0005,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:9-10
2BALLAD.MID,11,12,BAL_0006,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:11-12
2BALLAD.MID,13,14,BAL_0007,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:13-14
2BALLAD.MID,15,16,BAL_0008,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:15-16
2BALLAD.MID,17,18,BAL_0009,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:17-18
2BALLAD.MID,19,20,BAL_0010,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:19-20
2BALLAD.MID,21,22,BAL_0011,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:21-22
2BALLAD.MID,23,24,BAL_0012,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:23-24
2BALLAD.MID,25,26,BAL_0013,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:25-26
2BALLAD.MID,27,28,BAL_0014,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:27-28
2BALLAD.MID,29,30,BAL_0015,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:29-30
2BLUES.MID,1,2,BLU_0001,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:1-2
2BLUES.MID,3,4,BLU_0002,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:3-4
2BLUES.MID,5,6,BLU_0003,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:5-6
2BLUES.MID,7,8,BLU_0004,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:7-8
2BLUES.MID,9,10,BLU_0005,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:9-10
2BLUES.MID,11,12,BLU_0006,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:11-12
2BLUES.MID,13,14,BLU_0007,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:13-14
2BLUES.MID,15,16,BLU_0008,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:15-16
2BLUES.MID,17,18,BLU_0009,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:17-18
2BLUES.MID,19,20,BLU_0010,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:19-20
2BLUES.MID,21,22,BLU_0011,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:21-22
2BLUES.MID,23,24,BLU_0012,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:23-24
2FUNK1.MID,1,2,FNK_0001,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:1-2
2FUNK1.MID,3,4,FNK_0002,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:3-4
2FUNK1.MID,5,6,FNK_0003,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:5-6
2FUNK1.MID,7,8,FNK_0004,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:7-8
2FUNK1.MID,9,10,FNK_0005,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:9-10
2FUNK1.MID,11,12,FNK_0006,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:11-12
2FUNK1.MID,13,14,FNK_0007,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:13-14
2FUNK1.MID,15,16,FNK_0008,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:15-16
