FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6AFROCUB.MID,1,2,AFC_0015,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:1-2
6AFROCUB.MID,3,4,AFC_0016,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:3-4
6AFROCUB.MID,5,6,AFC_0017,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:5-6
6AFROCUB.MID,7,8,AFC_0018,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:7-8
6AFROCUB.MID,9,10,AFC_0019,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:9-10
6AFROCUB.MID,11,12,AFC_0020,4/4,ADD1,YES,AFC,16,NO,,6AFROCUB.MID:11-12
6AFROCUB.MID,13,14,AFC_0021,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:13-14
6AFROCUB.MID,15,16,AFC_0022,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:15-16
6AFROCUB.MID,17,18,AFC_0023,4/4,RAP,YES,AFC,16,NO,,6AFROCUB.MID:17-18
6AFROCUB.MID,19,20,AFC_0024,4/4,RAP,YES,AFC,32,NO,,6AFROCUB.MID:19-20; break
6AFROCUB.MID,21,22,AFC_0025,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:21-22; break
6AFROCUB.MID,23,24,AFC_0026,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:23-24; break
6AFROCUB.MID,25,26,AFC_0027,4/4,RAP,YES,AFC,16,NO,,6AFROCUB.MID:25-26; break
6AFROCUB.MID,27,28,AFC_0028,4/4,RAP,YES,AFC,32,NO,,6AFROCUB.MID:27-28; break
6AFROCUB.MID,29,30,AFC_0029,4/4,LEGACY,YES,AFC,16,NO,,6AFROCUB.MID:29-30; break
