FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6DISCO.MID,1,2,DSC_0001,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:1-2
6DISCO.MID,3,4,DSC_0002,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:3-4
6DISCO.MID,5,6,DSC_0003,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:5-6
6DISCO.MID,7,8,DSC_0004,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:7-8
6DISCO.MID,9,10,DSC_0005,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:9-10
6DISCO.MID,11,12,DSC_0006,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:11-12
6DISCO.MID,13,14,DSC_0007,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:13-14
6DISCO.MID,15,16,DSC_0008,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:15-16
6DISCO.MID,17,18,DSC_0009,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:17-18
6DISCO.MID,19,20,DSC_0010,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:19-20
6DISCO.MID,21,22,DSC_0011,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:21-22
6DISCO.MID,23,24,DSC_0012,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:23-24
6DISCO.MID,25,26,DSC_0013,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:25-26; break
6DISCO.MID,27,28,DSC_0014,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:27-28; break
6DISCO.MID,29,30,DSC_0015,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:29-30; break
6DISCO.MID,31,32,DSC_0016,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:31-32; break
6DISCO.MID,33,34,DSC_0017,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:33-34; break
6DISCO.MID,35,36,DSC_0018,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:35-36; break
6DISCO.MID,37,38,DSC_0019,4/4,RAP,YES,DSC,16,NO,,6DISCO.MID:37-38; break
6DISCO.MID,39,40,DSC_0020,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:39-40; break
6DISCO.MID,41,42,DSC_0021,4/4,LEGACY,YES,DSC,16,NO,,6DISCO.MID:41-42; break
