FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6FUNKBR.MID,1,2,FNK_0058,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:1-2; break
6FUNKBR.MID,3,4,FNK_0059,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:3-4; break
6FUNKBR.MID,5,6,FNK_0060,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:5-6; break
6FUNKBR.MID,7,8,FNK_0061,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:7-8; break
6FUNKBR.MID,9,10,FNK_0062,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:9-10; break
6FUNKBR.MID,11,12,FNK_0063,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:11-12; break
6FUNKBR.MID,13,14,FNK_0064,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:13-14; break
6FUNKBR.MID,15,16,FNK_0065,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:15-16; break
6FUNKBR.MID,17,18,FNK_0066,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:17-18; break
6FUNKBR.MID,19,20,FNK_0067,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:19-20; break
6FUNKBR.MID,21,22,FNK_0068,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:21-22; break
6FUNKBR.MID,23,24,FNK_0069,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:23-24; break
6FUNKBR.MID,25,26,FNK_0070,4/4,LEGACY,YES,FNK,16,NO,,6FUNKBR.MID:25-26; break
6FUNKBR.MID,27,28,FNK_0071,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:27-28; break
6FUNKBR.MID,29,30,FNK_0072,4/4,LEGACY,YES,FNK,32,NO,,6FUNKBR.MID:29-30; break
