FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6FUNK.MID,1,2,FNK_0043,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:1-2
6FUNK.MID,3,4,FNK_0044,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:3-4
6FUNK.MID,5,6,FNK_0045,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:5-6
6FUNK.MID,7,8,FNK_0046,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:7-8
6FUNK.MID,9,10,FNK_0047,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:9-10
6FUNK.MID,11,12,FNK_0048,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:11-12
6FUNK.MID,13,14,FNK_0049,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:13-14
6FUNK.MID,15,16,FNK_0050,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:15-16
6FUNK.MID,17,18,FNK_0051,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:17-18
6FUNK.MID,19,20,FNK_0052,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:19-20
6FUNK.MID,21,22,FNK_0053,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:21-22
6FUNK.MID,23,24,FNK_0054,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:23-24
6FUNK.MID,25,26,FNK_0055,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:25-26
6FUNK.MID,27,28,FNK_0056,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:27-28
6FUNK.MID,29,30,FNK_0057,4/4,LEGACY,YES,FNK,16,NO,,6FUNK.MID:29-30
