FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6MISC1.MID,1,2,MCH_0001,4/4,LEGACY,YES,MCH,16,NO,,6MISC1.MID:1-2
6MISC1.MID,3,4,MCH_0002,4/4,LEGACY,YES,MCH,16,NO,,6MISC1.MID:3-4
6MISC1.MID,5,6,MCH_0003,4/4,LEGACY,YES,MCH,32,NO,,6MISC1.MID:5-6
6MISC1.MID,7,8,MCH_0004,4/4,LEGACY,YES,MCH,16,NO,,6MISC1.MID:7-8
6MISC1.MID,9,10,TNG_0001,4/4,LEGACY,YES,TNG,16,NO,,6MISC1.MID:9-10
6MISC1.MID,11,12,TNG_0002,4/4,LEGACY,YES,TNG,16,NO,,6MISC1.MID:11-12
6MISC1.MID,13,14,PSD_0001,4/4,LEGACY,YES,PSD,16,NO,,6MISC1.MID:13-14
6MISC1.MID,15,16,PSD_0002,4/4,LEGACY,YES,PSD,16,NO,,6MISC1.MID:15-16
6MISC1.MID,17,18,PSD_0003,4/4,LEGACY,YES,PSD,16,NO,,6MISC1.MID:17-18
6MISC1.MID,19,20,PSD_0004,4/4,LEGACY,YES,PSD,32,NO,,6MISC1.MID:19-20
6MISC1.MID,21,22,CHS_0001,4/4,LEGACY,YES,CHS,16,NO,,6MISC1.MID:21-22
6MISC1.MID,23,24,CHS_0002,4/4,LEGACY,YES,CHS,16,NO,,6MISC1.MID:23-24
6MISC1.MID,25,26,DRM_0017,4/4,LEGACY,YES,DRM,16,NO,,6MISC1.MID:25-26
6MISC1.MID,27,28,DRM_0018,4/4,LEGACY,YES,DRM,32,NO,,6MISC1.MID:27-28
6MISC1.MID,29,30,DRM_0019,4/4,LEGACY,YES,DRM,16,NO,,6MISC1.MID:29-30
