FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6POP.MID,1,2,POP_0016,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:1-2
6POP.MID,3,4,POP_0017,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:3-4
6POP.MID,5,6,POP_0018,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:5-6
6POP.MID,7,8,POP_0019,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:7-8
6POP.MID,9,10,POP_0020,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:9-10
6POP.MID,11,12,POP_0021,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:11-12
6POP.MID,13,14,POP_0022,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:13-14
6POP.MID,15,16,POP_0023,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:15-16
6POP.MID,17,18,POP_0024,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:17-18
6POP.MID,19,20,POP_0025,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:19-20
6POP.MID,21,22,POP_0026,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:21-22
6POP.MID,23,24,POP_0027,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:23-24; break
6POP.MID,25,26,POP_0028,4/4,LEGACY,YES,POP,32,NO,,6POP.MID:25-26; break
6POP.MID,27,28,POP_0029,4/4,LEGACY,YES,POP,32,NO,,6POP.MID:27-28; break
6POP.MID,29,30,POP_0030,4/4,LEGACY,YES,POP,32,NO,,6POP.MID:29-30; break
6POP.MID,31,32,POP_0031,4/4,LEGACY,YES,POP,32,NO,,6POP.MID:31-32; break
6POP.MID,33,34,POP_0032,4/4,LEGACY,YES,POP,16,NO,,6POP.MID:33-34; break
