FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6RANDB.MID,1,2,RNB_0016,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:1-2
6RANDB.MID,3,4,RNB_0017,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:3-4
6RANDB.MID,5,6,RNB_0018,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:5-6
6RANDB.MID,7,8,RNB_0019,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:7-8
6RANDB.MID,9,10,RNB_0020,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:9-10
6RANDB.MID,11,12,RNB_0021,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:11-12
6RANDB.MID,13,14,RNB_0022,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:13-14
6RANDB.MID,15,16,RNB_0023,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:15-16
6RANDB.MID,17,18,RNB_0024,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:17-18
6RANDB.MID,19,20,RNB_0025,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:19-20
6RANDB.MID,21,22,RNB_0026,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:21-22
6RANDB.MID,23,24,RNB_0027,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:23-24; break
6RANDB.MID,25,26,RNB_0028,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:25-26; break
6RANDB.MID,27,28,RNB_0029,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:27-28; break
6RANDB.MID,29,30,RNB_0030,4/4,LEGACY,YES,RNB,32,NO,,6RANDB.MID:29-30; break
6RANDB.MID,31,32,RNB_0031,4/4,LEGACY,YES,RNB,16,NO,,6RANDB.MID:31-32; break
6RANDB.MID,33,34,RNB_0032,4/4,LEGACY,YES,RNB,32,NO,,6RANDB.MID:33-34; break
