FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6REGGAE.MID,1,2,REG_0016,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:1-2
6REGGAE.MID,3,4,REG_0017,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:3-4
6REGGAE.MID,5,6,REG_0018,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:5-6
6REGGAE.MID,7,8,REG_0019,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:7-8
6REGGAE.MID,9,10,REG_0020,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:9-10
6REGGAE.MID,11,12,REG_0021,4/4,LEGACY,YES,REG,8T,NO,,6REGGAE.MID:11-12
6REGGAE.MID,13,14,REG_0022,4/4,LEGACY,YES,REG,8T,NO,,6REGGAE.MID:13-14
6REGGAE.MID,15,16,REG_0023,4/4,LEGACY,YES,REG,8T,NO,,6REGGAE.MID:15-16
6REGGAE.MID,17,18,REG_0024,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:17-18
6REGGAE.MID,19,20,REG_0025,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:19-20
6REGGAE.MID,21,22,REG_0026,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:21-22
6REGGAE.MID,23,24,REG_0027,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:23-24; break
6REGGAE.MID,25,26,REG_0028,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:25-26; break
6REGGAE.MID,27,28,REG_0029,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:27-28; break
6REGGAE.MID,29,30,REG_0030,4/4,LEGACY,YES,REG,32,NO,,6REGGAE.MID:29-30; break
6REGGAE.MID,31,32,REG_0031,4/4,LEGACY,YES,REG,32,NO,,6REGGAE.MID:31-32; break
6REGGAE.MID,33,34,REG_0032,4/4,LEGACY,YES,REG,16,NO,,6REGGAE.MID:33-34; break
6REGGAE.MID,35,36,REG_0033,4/4,LEGACY,YES,REG,16T,NO,,6REGGAE.MID:35-36; break
6REGGAE.MID,37,38,REG_0034,4/4,LEGACY,YES,REG,8T,NO,,6REGGAE.MID:37-38; break
6REGGAE.MID,39,40,REG_0035,4/4,LEGACY,YES,REG,8T,NO,,6REGGAE.MID:39-40; break
