FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6ROCKBR.MID,1,2,RCK_0029,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:1-2; break
6ROCKBR.MID,3,4,RCK_0030,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:3-4; break
6ROCKBR.MID,5,6,RCK_0031,4/4,LEGACY,YES,RCK,32,NO,,6ROCKBR.MID:5-6; break
6ROCKBR.MID,7,8,RCK_0032,4/4,LEGACY,YES,RCK,32,NO,,6ROCKBR.MID:7-8; break
6ROCKBR.MID,9,10,RCK_0033,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:9-10; break
6ROCKBR.MID,11,12,RCK_0034,4/4,LEGACY,YES,RCK,32,YES,,6ROCKBR.MID:11-12; break
6ROCKBR.MID,13,14,RCK_0035,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:13-14; break
6ROCKBR.MID,15,16,RCK_0036,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:15-16; break
6ROCKBR.MID,17,18,RCK_0037,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:17-18; break
6ROCKBR.MID,19,20,RCK_0038,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:19-20; break
6ROCKBR.MID,21,22,RCK_0039,4/4,LEGACY,YES,RCK,16,NO,,6ROCKBR.MID:21-22; break
