FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6SLOW.MID,1,2,SLW_0001,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:1-2
6SLOW.MID,3,4,SLW_0002,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:3-4
6SLOW.MID,5,6,SLW_0003,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:5-6
6SLOW.MID,7,8,SLW_0004,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:7-8
6SLOW.MID,9,10,SLW_0005,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:9-10
6SLOW.MID,11,12,SLW_0006,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:11-12
6SLOW.MID,13,14,SLW_0007,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:13-14
6SLOW.MID,15,16,SLW_0008,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:15-16
6SLOW.MID,17,18,SLW_0009,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:17-18
6SLOW.MID,19,20,SLW_0010,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:19-20
6SLOW.MID,21,22,SLW_0011,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:21-22
6SLOW.MID,23,24,SLW_0012,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:23-24
6SLOW.MID,25,26,SLW_0013,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:25-26; break
6SLOW.MID,27,28,SLW_0014,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:27-28; break
6SLOW.MID,29,30,SLW_0015,4/4,LEGACY,YES,SLW,32,NO,,6SLOW.MID:29-30; break
6SLOW.MID,31,32,SLW_0016,4/4,LEGACY,YES,SLW,16,NO,,6SLOW.MID:31-32; break
6SLOW.MID,33,34,SLW_0017,4/4,LEGACY,YES,SLW,32,NO,,6SLOW.MID:33-34; break
6SLOW.MID,35,36,SLW_0018,4/4,LEGACY,YES,SLW,32,NO,,6SLOW.MID:35-36; break
