FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
5RAP_01.MID,1,2,RAP_0001,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:1-2
5RAP_01.MID,3,4,RAP_0002,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:3-4
5RAP_01.MID,5,6,RAP_0003,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:5-6
5RAP_01.MID,7,8,RAP_0004,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:7-8
5RAP_01.MID,9,10,RAP_0005,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:9-10
5RAP_01.MID,11,12,RAP_0006,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:11-12
5RAP_01.MID,13,14,RAP_0007,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:13-14
5RAP_01.MID,15,16,RAP_0008,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:15-16
5RAP_01.MID,17,18,RAP_0009,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:17-18
5RAP_01.MID,19,20,RAP_0010,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:19-20
5RAP_01.MID,21,22,RAP_0011,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:21-22
5RAP_01.MID,23,24,RAP_0012,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:23-24
5RAP_01.MID,25,26,RAP_0013,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:25-26
5RAP_01.MID,27,28,RAP_0014,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:27-28
5RAP_01.MID,29,30,RAP_0015,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:29-30
5RAP_01.MID,31,32,RAP_0016,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:31-32
5RAP_01.MID,33,34,RAP_0017,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:33-34
5RAP_01.MID,35,36,RAP_0018,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:35-36
5RAP_01.MID,37,38,RAP_0019,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:37-38
5RAP_01.MID,39,40,RAP_0020,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:39-40
5RAP_01.MID,41,42,RAP_0021,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:41-42
5RAP_01.MID,43,44,RAP_0022,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:43-44
5RAP_01.MID,45,46,RAP_0023,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:45-46
5RAP_01.MID,47,48,RAP_0024,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:47-48
5RAP_01.MID,49,50,RAP_0025,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:49-50
5RAP_01.MID,51,52,,4/4,LEGACY,NO,RAP,16,NO,25,5RAP_01.MID:51-52
5RAP_01.MID,53,54,RAP_0026,4/4,LEGACY,YES,RAP,16,NO,,5RAP_01.MID:53-54
