FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
12bar1.mid,1,2,TBR_0001,4/4,LEGACY,YES,TBR,8T,NO,,12bar1.mid:1-2
12bar1.mid,3,4,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0001,12bar1.mid:3-4; duplicate of TBR_0001; RAW identical; not exported
12bar1.mid,5,6,TBR_0002,4/4,LEGACY,YES,TBR,8T,NO,,12bar1.mid:5-6
12bar1.mid,7,8,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0001,12bar1.mid:7-8; duplicate of TBR_0001; RAW identical; not exported
12bar1.mid,9,10,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0002,12bar1.mid:9-10; duplicate of TBR_0002 after SLOT_MAP abstraction; RAW note 49→52 (CR); not exported
12bar1.mid,11,12,TBR_0003,4/4,LEGACY,YES,TBR,8T,NO,,12bar1.mid:11-12
12bar1.mid,13,13,,4/4,LEGACY,NO,TBR,16,NO,,12bar1.mid:13; empty block (0 CH10 note-on); not exported
12bar4.mid,1,2,TBR_0004,4/4,LEGACY,YES,TBR,8T,NO,,12bar4.mid:1-2
12bar4.mid,3,4,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0004,12bar4.mid:3-4; duplicate of TBR_0004; RAW identical; not exported
12bar4.mid,5,6,TBR_0005,4/4,LEGACY,YES,TBR,8T,NO,,12bar4.mid:5-6
12bar4.mid,7,8,TBR_0006,4/4,LEGACY,YES,TBR,8T,NO,,12bar4.mid:7-8
12bar4.mid,9,10,TBR_0007,4/4,LEGACY,YES,TBR,8T,NO,,12bar4.mid:9-10
12bar4.mid,11,12,TBR_0008,4/4,LEGACY,YES,TBR,8T,NO,,12bar4.mid:11-12
12bar4.mid,13,13,,4/4,LEGACY,NO,TBR,16,NO,,12bar4.mid:13; empty block (0 CH10 note-on); not exported
12bar6.mid,1,2,TBR_0009,4/4,LEGACY,YES,TBR,8T,NO,,12bar6.mid:1-2
12bar6.mid,3,4,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0009,12bar6.mid:3-4; duplicate of TBR_0009; RAW identical; not exported
12bar6.mid,5,6,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0009,12bar6.mid:5-6; duplicate of TBR_0009; RAW identical; not exported
12bar6.mid,7,8,TBR_0010,4/4,LEGACY,YES,TBR,8T,NO,,12bar6.mid:7-8
12bar6.mid,9,10,TBR_0011,4/4,LEGACY,YES,TBR,8T,NO,,12bar6.mid:9-10
12bar6.mid,11,12,TBR_0012,4/4,LEGACY,YES,TBR,8T,NO,,12bar6.mid:11-12
12bar7.mid,1,2,TBR_0013,4/4,LEGACY,YES,TBR,8T,NO,,12bar7.mid:1-2
12bar7.mid,3,4,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0013,12bar7.mid:3-4; duplicate of TBR_0013; RAW identical; not exported
12bar7.mid,5,6,,4/4,LEGACY,NO,TBR,8T,NO,TBR_0013,12bar7.mid:5-6; duplicate of TBR_0013; RAW identical; not exported
12bar7.mid,7,8,TBR_0014,4/4,LEGACY,YES,TBR,16T,NO,,12bar7.mid:7-8
12bar7.mid,9,10,TBR_0015,4/4,LEGACY,YES,TBR,8T,NO,,12bar7.mid:9-10
12bar7.mid,11,12,TBR_0016,4/4,LEGACY,YES,TBR,8T,NO,,12bar7.mid:11-12
34time2.mid,1,2,THF_0001,3/4,LEGACY,YES,THF,16,NO,,34time2.mid:1-2
34time2.mid,3,4,,3/4,LEGACY,NO,THF,16,NO,THF_0001,34time2.mid:3-4; duplicate of THF_0001; RAW identical; not exported
34time2.mid,5,6,,3/4,LEGACY,NO,THF,16,NO,THF_0001,34time2.mid:5-6; duplicate of THF_0001; RAW identical; not exported
34time2.mid,7,8,THF_0002,3/4,LEGACY,YES,THF,16,NO,,34time2.mid:7-8
34time2.mid,9,10,THF_0003,3/4,LEGACY,YES,THF,16,NO,,34time2.mid:9-10
34time2.mid,11,12,THF_0004,3/4,LEGACY,YES,THF,16,NO,,34time2.mid:11-12
34time2.mid,13,14,,3/4,LEGACY,NO,THF,16,NO,THF_0004,34time2.mid:13-14; duplicate of THF_0004; RAW identical; not exported
34time2.mid,15,16,THF_0005,3/4,LEGACY,YES,THF,16,NO,,34time2.mid:15-16
34time2.mid,17,17,,3/4,LEGACY,NO,THF,16,NO,,34time2.mid:17; ending hit only; excluded from pattern catalog
34time8.mid,1,2,THF_0006,3/4,LEGACY,YES,THF,16,NO,,34time8.mid:1-2
34time8.mid,3,4,,3/4,LEGACY,NO,THF,16,NO,THF_0006,34time8.mid:3-4; duplicate of THF_0006; RAW identical; not exported
34time8.mid,5,6,,3/4,LEGACY,NO,THF,16,NO,THF_0006,34time8.mid:5-6; duplicate of THF_0006; RAW identical; not exported
34time8.mid,7,8,THF_0007,3/4,LEGACY,YES,THF,16,NO,,34time8.mid:7-8
34time8.mid,9,10,THF_0008,3/4,LEGACY,YES,THF,16,NO,,34time8.mid:9-10
34time8.mid,11,12,THF_0009,3/4,LEGACY,YES,THF,16,NO,,34time8.mid:11-12
34time8.mid,13,14,THF_0010,3/4,LEGACY,YES,THF,16,NO,,34time8.mid:13-14
34time8.mid,15,16,,3/4,LEGACY,NO,THF,16,NO,THF_0009,34time8.mid:15-16; duplicate of THF_0009; RAW identical; not exported
34time8.mid,17,17,,3/4,LEGACY,NO,THF,16,NO,,34time8.mid:17; ending hit only; excluded from pattern catalog
34time13.mid,1,2,THF_0011,3/4,LEGACY,YES,THF,16,NO,,34time13.mid:1-2
34time13.mid,3,4,,3/4,LEGACY,NO,THF,16,NO,THF_0011,34time13.mid:3-4; duplicate of THF_0011; RAW identical; not exported
34time13.mid,5,6,,3/4,LEGACY,NO,THF,16,NO,THF_0011,34time13.mid:5-6; duplicate of THF_0011; RAW identical; not exported
34time13.mid,7,8,THF_0012,3/4,LEGACY,YES,THF,16,NO,,34time13.mid:7-8
34time13.mid,9,10,THF_0013,3/4,LEGACY,YES,THF,16,NO,,34time13.mid:9-10
34time13.mid,11,12,THF_0014,3/4,LEGACY,YES,THF,16,NO,,34time13.mid:11-12
34time13.mid,13,14,,3/4,LEGACY,NO,THF,16,NO,THF_0014,34time13.mid:13-14; duplicate of THF_0014; RAW identical; not exported
34time13.mid,15,16,,3/4,LEGACY,NO,THF,16,NO,THF_0014,34time13.mid:15-16; duplicate of THF_0014; RAW identical; not exported
34time13.mid,17,17,,3/4,LEGACY,NO,THF,16,NO,,34time13.mid:17; ending hit only; excluded from pattern catalog
34time19.mid,1,2,THF_0015,3/4,LEGACY,YES,THF,16,NO,,34time19.mid:1-2
34time19.mid,3,4,,3/4,LEGACY,NO,THF,16,NO,THF_0015,34time19.mid:3-4; duplicate of THF_0015; RAW identical; not exported
34time19.mid,5,6,,3/4,LEGACY,NO,THF,16,NO,THF_0015,34time19.mid:5-6; duplicate of THF_0015; RAW identical; not exported
34time19.mid,7,8,THF_0016,3/4,LEGACY,YES,THF,16,NO,,34time19.mid:7-8
34time19.mid,9,10,THF_0017,3/4,LEGACY,YES,THF,16,NO,,34time19.mid:9-10
34time19.mid,11,12,THF_0018,3/4,LEGACY,YES,THF,16,NO,,34time19.mid:11-12
34time19.mid,13,14,,3/4,LEGACY,NO,THF,16,NO,THF_0018,34time19.mid:13-14; duplicate of THF_0018; RAW identical; not exported
34time19.mid,15,16,,3/4,LEGACY,NO,THF,16,NO,THF_0018,34time19.mid:15-16; duplicate of THF_0018; RAW identical; not exported
34time19.mid,17,17,,3/4,LEGACY,NO,THF,16,NO,,34time19.mid:17; ending hit only; excluded from pattern catalog
34time23.mid,1,2,THF_0019,3/4,LEGACY,YES,THF,16,NO,,34time23.mid:1-2
34time23.mid,3,4,,3/4,LEGACY,NO,THF,16,NO,THF_0019,34time23.mid:3-4; duplicate of THF_0019; RAW identical; not exported
34time23.mid,5,6,,3/4,LEGACY,NO,THF,16,NO,THF_0019,34time23.mid:5-6; duplicate of THF_0019; RAW identical; not exported
34time23.mid,7,8,THF_0020,3/4,LEGACY,YES,THF,16,NO,,34time23.mid:7-8
34time23.mid,9,10,THF_0021,3/4,LEGACY,YES,THF,16,NO,,34time23.mid:9-10
34time23.mid,11,12,THF_0022,3/4,LEGACY,YES,THF,16,NO,,34time23.mid:11-12
34time23.mid,13,14,,3/4,LEGACY,NO,THF,16,NO,THF_0022,34time23.mid:13-14; duplicate of THF_0022; RAW identical; not exported
34time23.mid,15,16,,3/4,LEGACY,NO,THF,16,NO,THF_0022,34time23.mid:15-16; duplicate of THF_0022; RAW identical; not exported
34time23.mid,17,17,,3/4,LEGACY,NO,THF,16,NO,,34time23.mid:17; ending hit only; excluded from pattern catalog
68time2.mid,1,2,SXE_0001,6/8,LEGACY,YES,SXE,16,NO,,68time2.mid:1-2
68time2.mid,3,4,,6/8,LEGACY,NO,SXE,16,NO,SXE_0001,68time2.mid:3-4; duplicate of SXE_0001; RAW identical; not exported
68time2.mid,5,6,,6/8,LEGACY,NO,SXE,16,NO,SXE_0001,68time2.mid:5-6; duplicate of SXE_0001; RAW identical; not exported
68time2.mid,7,8,SXE_0002,6/8,LEGACY,YES,SXE,16,NO,,68time2.mid:7-8
68time2.mid,9,10,SXE_0003,6/8,LEGACY,YES,SXE,16,NO,,68time2.mid:9-10
68time2.mid,11,12,SXE_0004,6/8,LEGACY,YES,SXE,16,NO,,68time2.mid:11-12
68time2.mid,13,14,,6/8,LEGACY,NO,SXE,16,NO,SXE_0004,68time2.mid:13-14; duplicate of SXE_0004; RAW identical; not exported
68time2.mid,15,16,,6/8,LEGACY,NO,SXE,16,NO,SXE_0004,68time2.mid:15-16; duplicate of SXE_0004; RAW identical; not exported
68time7.mid,1,2,SXE_0005,6/8,LEGACY,YES,SXE,16,NO,,68time7.mid:1-2
68time7.mid,3,4,,6/8,LEGACY,NO,SXE,16,NO,SXE_0005,68time7.mid:3-4; duplicate of SXE_0005; RAW identical; not exported
68time7.mid,5,6,,6/8,LEGACY,NO,SXE,16,NO,SXE_0005,68time7.mid:5-6; duplicate of SXE_0005; RAW identical; not exported
68time7.mid,7,8,,6/8,LEGACY,NO,SXE,16,NO,SXE_0005,68time7.mid:7-8; duplicate of SXE_0005; RAW identical; not exported
68time7.mid,9,10,SXE_0006,6/8,LEGACY,YES,SXE,16,NO,,68time7.mid:9-10
68time7.mid,11,12,SXE_0007,6/8,LEGACY,YES,SXE,16,NO,,68time7.mid:11-12
68time7.mid,13,14,,6/8,LEGACY,NO,SXE,16,NO,SXE_0007,68time7.mid:13-14; duplicate of SXE_0007; RAW identical; not exported
68time7.mid,15,16,,6/8,LEGACY,NO,SXE,16,NO,SXE_0007,68time7.mid:15-16; duplicate of SXE_0007; RAW identical; not exported
68time10.mid,1,2,SXE_0008,6/8,LEGACY,YES,SXE,16,NO,,68time10.mid:1-2
68time10.mid,3,4,,6/8,LEGACY,NO,SXE,16,NO,SXE_0008,68time10.mid:3-4; duplicate of SXE_0008; RAW identical; not exported
68time10.mid,5,6,,6/8,LEGACY,NO,SXE,16,NO,SXE_0008,68time10.mid:5-6; duplicate of SXE_0008; RAW identical; not exported
68time10.mid,7,8,SXE_0009,6/8,LEGACY,YES,SXE,16,NO,,68time10.mid:7-8
68time10.mid,9,10,SXE_0010,6/8,LEGACY,YES,SXE,16,NO,,68time10.mid:9-10
68time10.mid,11,12,SXE_0011,6/8,LEGACY,YES,SXE,16,NO,,68time10.mid:11-12
68time10.mid,13,14,,6/8,LEGACY,NO,SXE,16,NO,SXE_0011,68time10.mid:13-14; duplicate of SXE_0011; RAW identical; not exported
68time10.mid,15,16,,6/8,LEGACY,NO,SXE,16,NO,SXE_0011,68time10.mid:15-16; duplicate of SXE_0011; RAW identical; not exported
68time15.mid,1,2,SXE_0012,6/8,LEGACY,YES,SXE,16,NO,,68time15.mid:1-2
68time15.mid,3,4,,6/8,LEGACY,NO,SXE,16,NO,SXE_0012,68time15.mid:3-4; duplicate of SXE_0012; RAW identical; not exported
68time15.mid,5,6,,6/8,LEGACY,NO,SXE,16,NO,SXE_0012,68time15.mid:5-6; duplicate of SXE_0012; RAW identical; not exported
68time15.mid,7,8,SXE_0013,6/8,LEGACY,YES,SXE,16,NO,,68time15.mid:7-8
68time15.mid,9,10,SXE_0014,6/8,LEGACY,YES,SXE,16,NO,,68time15.mid:9-10
68time15.mid,11,12,SXE_0015,6/8,LEGACY,YES,SXE,16,NO,,68time15.mid:11-12
68time15.mid,13,14,,6/8,LEGACY,NO,SXE,16,NO,SXE_0015,68time15.mid:13-14; duplicate of SXE_0015; RAW identical; not exported
68time15.mid,15,16,,6/8,LEGACY,NO,SXE,16,NO,SXE_0015,68time15.mid:15-16; duplicate of SXE_0015; RAW identical; not exported
68time20.mid,1,2,SXE_0016,6/8,LEGACY,YES,SXE,16,NO,,68time20.mid:1-2
68time20.mid,3,4,,6/8,LEGACY,NO,SXE,16,NO,SXE_0016,68time20.mid:3-4; duplicate of SXE_0016; RAW identical; not exported
68time20.mid,5,6,,6/8,LEGACY,NO,SXE,16,NO,SXE_0016,68time20.mid:5-6; duplicate of SXE_0016; RAW identical; not exported
68time20.mid,7,8,SXE_0017,6/8,LEGACY,YES,SXE,16,NO,,68time20.mid:7-8
68time20.mid,9,10,SXE_0018,6/8,LEGACY,YES,SXE,16,NO,,68time20.mid:9-10
68time20.mid,11,12,SXE_0019,6/8,LEGACY,YES,SXE,16,NO,,68time20.mid:11-12
68time20.mid,13,14,,6/8,LEGACY,NO,SXE,16,NO,SXE_0019,68time20.mid:13-14; duplicate of SXE_0019; RAW identical; not exported
68time20.mid,15,16,,6/8,LEGACY,NO,SXE,16,NO,SXE_0019,68time20.mid:15-16; duplicate of SXE_0019; RAW identical; not exported
Blues2.mid,1,2,BLU_0022,4/4,LEGACY,YES,BLU,8T,NO,,Blues2.mid:1-2
Blues2.mid,3,4,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0022,Blues2.mid:3-4; duplicate of BLU_0022; RAW identical; not exported
Blues2.mid,5,6,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0022,Blues2.mid:5-6; duplicate of BLU_0022; RAW identical; not exported
Blues2.mid,7,8,BLU_0023,4/4,LEGACY,YES,BLU,8T,NO,,Blues2.mid:7-8
Blues2.mid,9,10,BLU_0024,4/4,LEGACY,YES,BLU,8T,NO,,Blues2.mid:9-10
Blues2.mid,11,12,BLU_0025,4/4,LEGACY,YES,BLU,8T,NO,,Blues2.mid:11-12
Blues2.mid,13,14,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0025,Blues2.mid:13-14; duplicate of BLU_0025; RAW identical; not exported
Blues2.mid,15,16,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0025,Blues2.mid:15-16; duplicate of BLU_0025; RAW identical; not exported
Blues2.mid,17,17,,4/4,LEGACY,NO,BLU,16,NO,,Blues2.mid:17; empty block (0 CH10 note-on); not exported
Blues7.mid,1,2,BLU_0026,4/4,LEGACY,YES,BLU,8T,NO,,Blues7.mid:1-2
Blues7.mid,3,4,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0026,Blues7.mid:3-4; duplicate of BLU_0026; RAW identical; not exported
Blues7.mid,5,6,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0026,Blues7.mid:5-6; duplicate of BLU_0026; RAW identical; not exported
Blues7.mid,7,8,BLU_0027,4/4,LEGACY,YES,BLU,8T,NO,,Blues7.mid:7-8
Blues7.mid,9,10,BLU_0028,4/4,LEGACY,YES,BLU,8T,NO,,Blues7.mid:9-10
Blues7.mid,11,12,BLU_0029,4/4,LEGACY,YES,BLU,8T,NO,,Blues7.mid:11-12
Blues7.mid,13,14,BLU_0030,4/4,LEGACY,YES,BLU,8T,NO,,Blues7.mid:13-14
Blues7.mid,15,16,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0029,Blues7.mid:15-16; duplicate of BLU_0029; RAW identical; not exported
Blues7.mid,17,17,,4/4,LEGACY,NO,BLU,16,NO,,Blues7.mid:17; empty block (0 CH10 note-on); not exported
Blues10.mid,1,2,BLU_0031,4/4,LEGACY,YES,BLU,8T,NO,,Blues10.mid:1-2
Blues10.mid,3,4,BLU_0032,4/4,LEGACY,YES,BLU,8T,NO,,Blues10.mid:3-4
Blues10.mid,5,6,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0031,Blues10.mid:5-6; duplicate of BLU_0031; RAW identical; not exported
Blues10.mid,7,8,BLU_0033,4/4,LEGACY,YES,BLU,8T,NO,,Blues10.mid:7-8
Blues10.mid,9,10,BLU_0034,4/4,LEGACY,YES,BLU,8T,NO,,Blues10.mid:9-10
Blues10.mid,11,12,BLU_0035,4/4,LEGACY,YES,BLU,8T,NO,,Blues10.mid:11-12
Blues10.mid,13,14,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0035,Blues10.mid:13-14; duplicate of BLU_0035; RAW identical; not exported
Blues10.mid,15,16,,4/4,LEGACY,NO,BLU,8T,NO,BLU_0035,Blues10.mid:15-16; duplicate of BLU_0035; RAW identical; not exported
Blues10.mid,17,17,,4/4,LEGACY,NO,BLU,16,NO,,Blues10.mid:17; empty block (0 CH10 note-on); not exported
Contemporary4.mid,1,2,CON_0001,4/4,LEGACY,YES,CON,16,NO,,Contemporary4.mid:1-2
Contemporary4.mid,3,4,,4/4,LEGACY,NO,CON,16,NO,CON_0001,Contemporary4.mid:3-4; duplicate of CON_0001; RAW identical; not exported
Contemporary4.mid,5,6,,4/4,LEGACY,NO,CON,16,NO,CON_0001,Contemporary4.mid:5-6; duplicate of CON_0001; RAW identical; not exported
Contemporary4.mid,7,8,CON_0002,4/4,LEGACY,YES,CON,16,NO,,Contemporary4.mid:7-8
Contemporary4.mid,9,10,CON_0003,4/4,LEGACY,YES,CON,16,NO,,Contemporary4.mid:9-10
Contemporary4.mid,11,12,,4/4,LEGACY,NO,CON,16,NO,CON_0003,Contemporary4.mid:11-12; duplicate of CON_0003 after SLOT_MAP abstraction; RAW note 49→52 (CR); not exported
Contemporary4.mid,13,14,,4/4,LEGACY,NO,CON,16,NO,CON_0003,Contemporary4.mid:13-14; duplicate of CON_0003; RAW identical; not exported
Contemporary4.mid,15,16,,4/4,LEGACY,NO,CON,16,NO,CON_0003,Contemporary4.mid:15-16; duplicate of CON_0003 after SLOT_MAP abstraction; RAW note 49→52 (CR); not exported
Contemporary7.mid,1,2,CON_0004,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:1-2
Contemporary7.mid,3,4,CON_0005,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:3-4
Contemporary7.mid,5,6,CON_0006,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:5-6
Contemporary7.mid,7,8,CON_0007,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:7-8
Contemporary7.mid,9,10,CON_0008,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:9-10
Contemporary7.mid,11,12,CON_0009,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:11-12
Contemporary7.mid,13,14,CON_0010,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:13-14
Contemporary7.mid,15,16,CON_0011,4/4,LEGACY,YES,CON,16,NO,,Contemporary7.mid:15-16
Contemporary10.mid,1,2,CON_0012,4/4,LEGACY,YES,CON,8T,NO,,Contemporary10.mid:1-2
Contemporary10.mid,3,4,,4/4,LEGACY,NO,CON,8T,NO,CON_0012,Contemporary10.mid:3-4; duplicate of CON_0012; RAW identical; not exported
Contemporary10.mid,5,6,,4/4,LEGACY,NO,CON,8T,NO,CON_0012,Contemporary10.mid:5-6; duplicate of CON_0012; RAW identical; not exported
Contemporary10.mid,7,8,CON_0013,4/4,LEGACY,YES,CON,8T,NO,,Contemporary10.mid:7-8
