sound_map,pc_1based,midi_program_0based,drum_set_name,midi_note,manual_region,gm_core_35_81,raw_label,resolved_name,inherited_from_pc1,no_sound,exc_group,two_voice,rnd,left_marker,source_manual_page,source_status
SC-8820,1,0,STANDARD 1,0,extended_0_21_95_127,False,Standard 1 Kick 1,Standard 1 Kick 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,1,extended_0_21_95_127,False,Standard 1 Kick 2,Standard 1 Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,2,extended_0_21_95_127,False,Standard 2 Kick 1,Standard 2 Kick 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,3,extended_0_21_95_127,False,Standard 2 Kick 2,Standard 2 Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,4,extended_0_21_95_127,False,Kick Drum 1,Kick Drum 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,5,extended_0_21_95_127,False,Kick Drum 2,Kick Drum 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,6,extended_0_21_95_127,False,Jazz Kick 1,Jazz Kick 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,7,extended_0_21_95_127,False,Jazz Kick 2,Jazz Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,8,extended_0_21_95_127,False,Room Kick 1,Room Kick 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,9,extended_0_21_95_127,False,Room Kick 2,Room Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,10,extended_0_21_95_127,False,Power Kick 1,Power Kick 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,11,extended_0_21_95_127,False,Power Kick 2,Power Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,12,extended_0_21_95_127,False,Electric Kick 2,Electric Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,13,extended_0_21_95_127,False,Electric Kick 1 *,Electric Kick 1,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,14,extended_0_21_95_127,False,TR-808 Kick,TR-808 Kick,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
