pattern_id	native_hash	normalized_record_count	source_count	occurrence_count	corpus_count	corpora
IDX_0001466	d335684d4ff33f9d5632f27660b61e96e518cb83603c3dc8ea0852a4112db2ff	7	7	8	1	instant-rap
IDX_0000091	0d3729c7a87692ecf210dbef48db693f78d9a832a203045f4ba64d5e1005a13a	4	4	8	1	instant-rap
IDX_0000208	1f02f0277f1464c0222b89c7fcc76840dd254c42e3af3294e23b8da9eaedc3c4	4	4	7	1	instant-rap
IDX_0000572	526c564c91b81531ccfbb6806ffe8c858d43f914ed63cd1b2846bf1a801db45a	4	4	5	1	instant-rap
IDX_0001129	a3820fb5b5deb62988929bc4f33c4aa6009c751bdfcaae8ba5d775b975e2f789	4	4	8	1	instant-rap
IDX_0001372	c62fb6d334982a5f8e5cc7ce29d30f0c911ba850bd35bd7c73c20397d479436f	4	4	5	1	mididrumfiles-80
IDX_0001415	cc04d518e4f7f3e97f6b253a83480d90fbc5f4cc487d96a4d401dc67506e9204	4	4	4	1	instant-rap
IDX_0000067	09362b1de611da16380ab8f1c2b085252b49d6737e5c76c06e18cf22b2488d9d	3	3	3	1	instant-rap
IDX_0000196	1d9bcb6fda8c352e62e63c80953066ed70ece157125eaa3cb32ec1aea6b65c43	3	3	5	2	instant-260,mididrumfiles-80
IDX_0000224	20dcc4b46cc61a2690132c0643f95168ac46c10bc75ca51fa0491b0ebd575da8	3	3	4	1	mididrumfiles-80
IDX_0000276	268be7810d162b6b4886f0cad40b6d0867093c74728ff9147055cf2b05a11a77	3	3	4	1	mididrumfiles-80
IDX_0000283	2813e1ca6e43f1b8668fa9609bc55fffd2a245f31299f38805121217f0218b3b	3	3	3	1	instant-rap
IDX_0000294	29938b10167bed0b145b70e83c06644789bc3040dff024b4f10f4238abdee35c	3	3	3	1	instant-rap
IDX_0000301	2a9dcbd3bcc5226277155fa29e5a85317de3da7afdc113b7d01d1c72b8bb4397	3	3	3	1	instant-rap
IDX_0000335	2f2bbb02f6e19960dfbe34c8051d8c4eee3d9eda4c6c414dad008620f93a40c4	3	3	3	1	instant-rap
IDX_0000448	3f3c04100543b5a2d0692e913bd661fed5c08b77a9817485832723a3802ad95d	3	3	3	1	instant-rap
IDX_0000530	4cbad7559e3c2c628a89227c78491aed6acf615d1c87a3306bc3dcefc55585ea	3	3	5	2	instant-260,mididrumfiles-80
IDX_0000547	4f5dcfcfcb592f53247f91cc5f0c24ed9afc75aad5e25074e422805803d6d262	3	3	3	1	instant-rap
IDX_0000556	505c0d4b50e3e1559ca5f7546d5bc67654f4e1137d0ffce42a804d46e68448e3	3	3	3	1	instant-rap
IDX_0000651	5e2af7f0e3761ebd7100983c7e0e2eae56fade99f772cf04a41b2b3f16e477fc	3	3	3	1	instant-rap
IDX_0000666	607fa8c8f0b34fb07ec1c572b6a2c042ca7c2e1ebafc60ab8bd132d3f6f49430	3	3	3	1	instant-rap
IDX_0000720	69739343ee4492aad618e2fe6baeb175f3a00bd31f71386cc998dff9c431fc1b	3	3	4	1	mididrumfiles-80
IDX_0000826	7647174498980cdc32dc664dbb1352fa2588ff04844274c0677a4d9b8b936780	3	3	4	1	mididrumfiles-80
IDX_0000902	80a3983527d6b7e0e92c1c88eba2849dda07022e0fa20026318d2f134333e822	3	3	5	2	instant-200,mididrumfiles-80
IDX_0000955	8967c660c38c625ead51291deed287d722c3288e00ef8d734f0dde23d00a3a48	3	3	3	1	instant-rap
IDX_0000995	8f8c8a86ee0c056ba5238082b54f5a18d30bec5c145beeb4ef4e0b743a84a5f6	3	3	3	1	mididrumfiles-80
IDX_0001027	9464e4aa7dfadba234995aad21d4ef98edfe2b2061f5d1a7218ece8115c3c7d3	3	3	6	1	instant-rap
IDX_0001064	9a1ed7417e9c94fbc4d86dc4d52b9b32ca46f05708058b0dc10cf0104af31f07	3	3	3	1	mididrumfiles-80
IDX_0001151	a7a6b48e6d741628ece500dbab12a4f8e63f1dce6e6960253390ec2321921673	3	3	3	1	mididrumfiles-80
IDX_0001439	cec17064343d7a832aea2e815fa5c7d985b86f5d6656b592fa896a93982e3a79	3	3	4	1	mididrumfiles-80
IDX_0001459	d24e5300e5e9dd4ca60b3b93642b8db69d744e50c6cd9c43ea95151dec862f99	3	3	3	1	instant-rap
IDX_0001528	d96e7a3b8135c77bc1b0d2757ace211ae4e0455d9b5f9b322e3621f6cb4878e5	3	3	3	1	instant-rap
IDX_0001548	dc05aa0169bd7122f12d9368000925e0bab5f293eb91142854c5432fda95b3b6	3	3	3	1	instant-rap
IDX_0001632	e89859b9bd6b78c2528a617674ca1ebb36f80b581596894ea44dd1286ebb80db	3	3	5	2	instant-260,mididrumfiles-80
IDX_0001668	ef2a402af10213a716c19b1c06d13b9aa05670a1d96e777f90c53577c8d08e83	3	3	3	1	mididrumfiles-80
IDX_0001783	fdc074ff24805adb9bf96a71d8fb25f7c937ca1e29f9ede86635ccd655b947a7	3	3	3	1	instant-rap
