family_id	threshold	family_size_tight_clusters	underlying_patterns	tight_cluster_id	tight_cluster_size	medoid_pattern_id	source	stratum
PF_0001	0.78	4	7	RC_0201	2	IDX_0000471	mididrumfiles-80/THF_0015.ADT	3/4 / 16 / 12 steps
PF_0001	0.78	4	7	RC_0231	2	IDX_0000621	mididrumfiles-80/THF_0019.ADT	3/4 / 16 / 12 steps
PF_0001	0.78	4	7	RC_0331	2	IDX_0001573	mididrumfiles-80/THF_0022.ADT	3/4 / 16 / 12 steps
PF_0001	0.78	4	7	RC_0967	1	IDX_0001195	mididrumfiles-80/THF_0021.ADT	3/4 / 16 / 12 steps
PF_0002	0.78	3	3	RC_0432	1	IDX_0000188	mididrumfiles-80/LTF_0001.ADT	3/4 / 16 / 12 steps
PF_0002	0.78	3	3	RC_0689	1	IDX_0000662	mididrumfiles-80/LTF_0001.ADT	3/4 / 16 / 12 steps
PF_0002	0.78	3	3	RC_0717	1	IDX_0000709	mididrumfiles-80/LTF_0002.ADT	3/4 / 16 / 12 steps
PF_0003	0.78	2	6	RC_0034	3	IDX_0000003	mididrumfiles-80/THF_0008.ADT	3/4 / 16 / 12 steps
PF_0003	0.78	2	6	RC_0065	3	IDX_0000826	mididrumfiles-80/THF_0003.ADT	3/4 / 16 / 12 steps
PF_0004	0.78	2	3	RC_0122	2	IDX_0000105	mididrumfiles-80/THF_0011.ADT	3/4 / 16 / 12 steps
PF_0004	0.78	2	3	RC_0995	1	IDX_0001240	instant-260/WLZ_0002.ADT	3/4 / 16 / 12 steps
PF_0005	0.78	2	2	RC_0417	1	IDX_0000153	instant-260/WLZ_0003.ADT	3/4 / 16 / 12 steps
PF_0005	0.78	2	2	RC_1053	1	IDX_0001354	instant-260/WLZ_0001.ADT	3/4 / 16 / 12 steps
PF_0006	0.78	2	2	RC_0448	1	IDX_0000209	mididrumfiles-80/LTF_0002.ADT	3/4 / 16 / 12 steps
PF_0006	0.78	2	2	RC_1213	1	IDX_0001639	mididrumfiles-80/LTF_0003.ADT	3/4 / 16 / 12 steps
PF_0007	0.78	2	3	RC_0245	2	IDX_0000697	mididrumfiles-80/THF_0001.ADT	3/4 / 16 / 12 steps
PF_0007	0.78	2	3	RC_0527	1	IDX_0000362	mididrumfiles-80/THF_0001.ADT	3/4 / 16 / 12 steps
PF_0008	0.78	2	3	RC_0293	2	IDX_0001040	mididrumfiles-80/THF_0017.ADT	3/4 / 16 / 12 steps
PF_0008	0.78	2	3	RC_1186	1	IDX_0001588	mididrumfiles-80/THF_0017.ADT	3/4 / 16 / 12 steps
PF_0009	0.78	1	1	RC_0343	1	IDX_0000023	mididrumfiles-80/THF_0002.ADT	3/4 / 16 / 12 steps
PF_0010	0.78	1	1	RC_0465	1	IDX_0000246	mididrumfiles-80/THF_0007.ADT	3/4 / 16 / 12 steps
PF_0011	0.78	1	1	RC_0591	1	IDX_0000477	mididrumfiles-80/THF_0006.ADT	3/4 / 16 / 12 steps
PF_0012	0.78	1	3	RC_0058	3	IDX_0000615	mididrumfiles-80/LTF_0004.ADT	3/4 / 16 / 12 steps
PF_0013	0.78	1	1	RC_0724	1	IDX_0000724	instant-260/WLZ_0005.ADT	3/4 / 16 / 12 steps
PF_0014	0.78	1	1	RC_0870	1	IDX_0000998	instant-260/WLZ_0004.ADT	3/4 / 16 / 12 steps
PF_0015	0.78	1	1	RC_1151	1	IDX_0001527	mididrumfiles-80/THF_0016.ADT	3/4 / 16 / 12 steps
PF_0016	0.78	1	2	RC_0335	2	IDX_0001610	mididrumfiles-80/THF_0013.ADT	3/4 / 16 / 12 steps
PF_0017	0.78	7	21	RC_0002	9	IDX_0000744	instant-rap/RAP_0001.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0042	3	IDX_0000222	instant-rap/RAP_0102.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0075	3	IDX_0001295	instant-rap/RAP_0002.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0224	2	IDX_0000583	instant-rap/RAP_0069.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0269	2	IDX_0000859	instant-rap/RAP_0041.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0456	1	IDX_0000228	instant-rap/RAP_0272.ADT	4/4 / 16 / 16 steps
PF_0017	0.78	7	21	RC_0470	1	IDX_0000252	instant-rap/RAP_0040.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_0025	4	IDX_0000790	instant-rap/RAP_0410.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_0035	3	IDX_0000008	instant-rap/RAP_0340.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_0155	2	IDX_0000210	instant-rap/RAP_0139.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_0250	2	IDX_0000731	instant-rap/RAP_0037.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_1161	1	IDX_0001544	instant-rap/RAP_0143.ADT	4/4 / 16 / 16 steps
PF_0018	0.78	6	13	RC_1237	1	IDX_0001681	instant-200/REG_0001.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_0015	4	IDX_0000080	mididrumfiles-80/RCK_0051.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_0032	4	IDX_0001514	instant-260/RCK_0015.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_0237	2	IDX_0000644	mididrumfiles-80/RCK_0058.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_0259	2	IDX_0000805	mididrumfiles-80/RCK_0066.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_0779	1	IDX_0000828	mididrumfiles-80/RCK_0041.ADT	4/4 / 16 / 16 steps
PF_0019	0.78	6	14	RC_1035	1	IDX_0001320	mididrumfiles-80/RCK_0048.ADT	4/4 / 16 / 16 steps
PF_0020	0.78	5	10	RC_0053	3	IDX_0000527	instant-260/RCK_0019.ADT	4/4 / 16 / 16 steps
PF_0020	0.78	5	10	RC_0129	2	IDX_0000134	instant-260/POP_0022.ADT	4/4 / 16 / 16 steps
PF_0020	0.78	5	10	RC_0181	2	IDX_0000333	instant-260/SLW_0001.ADT	4/4 / 16 / 16 steps
PF_0020	0.78	5	10	RC_0203	2	IDX_0000480	instant-200/FNK_0040.ADT	4/4 / 16 / 16 steps
PF_0020	0.78	5	10	RC_0681	1	IDX_0000653	instant-rap/RAP_0085.ADT	4/4 / 16 / 16 steps
PF_0021	0.78	5	10	RC_0074	3	IDX_0001133	mididrumfiles-80/CON_0040.ADT	4/4 / 16 / 16 steps
PF_0021	0.78	5	10	RC_0132	2	IDX_0000146	instant-260/POP_0026.ADT	4/4 / 16 / 16 steps
PF_0021	0.78	5	10	RC_0178	2	IDX_0000322	instant-260/RNB_0026.ADT	4/4 / 16 / 16 steps
PF_0021	0.78	5	10	RC_0255	2	IDX_0000773	instant-260/SLW_0012.ADT	4/4 / 16 / 16 steps
PF_0021	0.78	5	10	RC_0616	1	IDX_0000521	instant-200/BAL_0014.ADT	4/4 / 16 / 16 steps
PF_0022	0.78	5	13	RC_0009	6	IDX_0000767	mididrumfiles-80/CON_0001.ADT	4/4 / 16 / 16 steps
PF_0022	0.78	5	13	RC_0134	2	IDX_0000150	instant-200/BAL_0004.ADT	4/4 / 16 / 16 steps
PF_0022	0.78	5	13	RC_0242	2	IDX_0000681	instant-rap/RAP_0028.ADT	4/4 / 16 / 16 steps
