sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	135	11	7	117	317	244	14	13	217	5.6390503536662235	2.4826875310481866	0.6829268292682927	4.4731707317073175	100	1	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	11	3	118	308	235	11	5	219	5.431052594719518	2.025390070921986	0.8148148148148148	5.337037037037037	100	2	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	14	4	119	320	242	20	5	217	5.592828629455845	3.5760080140245427	0.8888888888888888	5.822222222222222	100	3	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	11	5	115	309	238	13	8	217	5.500385181035087	2.3634708428826072	0.7647058823529411	5.008823529411764	100	4	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	10	8	116	313	236	11	13	212	5.454163456824708	2.0168079096045197	0.6285714285714286	4.1171428571428565	100	5	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	7	5	118	306	241	8	13	220	5.569717767350655	1.4363384886206463	0.5517241379310345	3.6137931034482755	100	6	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	14	7	116	324	253	20	13	220	5.847048112612928	3.420529404719128	0.7547169811320755	4.943396226415095	100	7	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	7	7	116	305	237	7	9	221	5.477274318929897	1.278007927375016	0.6086956521739131	3.9869565217391307	100	8	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	14	5	117	319	244	18	6	220	5.6390503536662235	3.192026825633383	0.8571428571428571	5.614285714285714	100	9	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	9	4	116	303	234	9	8	217	5.407941732614329	1.664219114219114	0.6923076923076923	4.5346153846153845	100	10	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	14	6	117	321	251	16	16	219	5.800826388402549	2.758227695279488	0.6666666666666666	4.366666666666666	100	11	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	9	9	117	316	241	10	13	218	5.569717767350655	1.7954231107758079	0.6060606060606061	3.9696969696969697	100	12	20260905	0.1	0.8
