level	group_hash	member_count	pattern_ids
FAMILY	031ef1d419764beb256709da1610c96d8bf93b21d45e56dfed510da0239f06b8	6	IDX_0000253,IDX_0000325,IDX_0000597,IDX_0001225,IDX_0001251,IDX_0001644
FAMILY	c10a96bcafd1927caa5a53319fbff7f9a76da37426cdaceb0b2b781bebdbeeea	5	IDX_0000317,IDX_0000675,IDX_0000713,IDX_0001629,IDX_0001671
FAMILY	3a987fcd36d87c1603b6f1434d7c8173362d715ecae4d4894490939b11227edd	4	IDX_0000091,IDX_0000522,IDX_0000575,IDX_0000744
FAMILY	e10941e05c4da4344bdba48cbf692cc0ce4982fb1b3b95118d945bbaa167919b	4	IDX_0000288,IDX_0000420,IDX_0000743,IDX_0001486
FAMILY	e50d8f12f260f9ef7eb219dcbc8d5ae5bd390bc120eb97617b15d24507bada1a	4	IDX_0000370,IDX_0000587,IDX_0001050,IDX_0001564
FAMILY	3e056c83887c878ec6ebc7c80680f936511ea7d6ba1c99412f5c59c1f72a5470	3	IDX_0000213,IDX_0000454,IDX_0000598
FAMILY	6521ee2dec0c994e345e32717187dd99b8faaa17ed0a3d63efb64155f57c148b	3	IDX_0000072,IDX_0001385,IDX_0001403
FAMILY	89b7a50394113d0d9e2e1518395f75869ca8b7b9f4f4df4d9e117a6fd13c5e05	3	IDX_0000019,IDX_0000314,IDX_0001083
FAMILY	a0624a0be53e2773103b3ec1367e6aea25516cb88e46fac8421a33b206c94c2e	3	IDX_0000336,IDX_0000445,IDX_0001085
FAMILY	074be2ca279042a7a400fcc4c9134d7336cf8444df9c0dbd1eb634c2e8b13b90	2	IDX_0000936,IDX_0001045
FAMILY	090524e60dbcf86f9a80f6c826a9c8f1c85b05d9f8cfb1871b8445ca0acecadb	2	IDX_0000594,IDX_0000792
FAMILY	09fd811c8453fe01b7dd627e538fc5f77a1a1eec4ae5a942d999e1b03e94082d	2	IDX_0000390,IDX_0001653
FAMILY	0a156cfa25731976cc2e842e7106b81964a170963cb650b52d27c6254b069104	2	IDX_0000572,IDX_0001466
FAMILY	172ff70971268836b57e5be856bf84e3ad00df76e03dfb99249a74a17730679b	2	IDX_0001511,IDX_0001647
FAMILY	18e6108f952b53044dfc9c5b8ac12ccaddc0985e7a69667a0afecfff42308443	2	IDX_0000219,IDX_0001607
FAMILY	1c840e4896531aeb4266e39c8e336107b093bb8a8ad2cf40bbbe958b6ccc8a2e	2	IDX_0000696,IDX_0001243
FAMILY	1ec30ef13320d874a31696ae18ee136d8d44dd429f1b1b539d41026615d5e70b	2	IDX_0000826,IDX_0001039
FAMILY	236b35fc8676a967ead6578d6e098dffa4c070aaab6b471952c97eee111bae1b	2	IDX_0000163,IDX_0001262
FAMILY	247edc4139903cedecbc9f087a68ca17e6866d8c4717c1a6c73f4339d3d19630	2	IDX_0000276,IDX_0000705
FAMILY	254eae9d96282f511ea3050ae259688c7909158e6b3000a158c9125beba504fc	2	IDX_0000331,IDX_0001408
FAMILY	2ad4bbc9e29da1e0793591e2611755a671dd28fba7b558b3ee7dba409a8b87f6	2	IDX_0000619,IDX_0001460
FAMILY	2e53e0a3cd65651a702089e75e44cf66e0cc7abfe3b040a5712d151ce82fe1b4	2	IDX_0000958,IDX_0001731
FAMILY	31aa7ebd521d6e579f56930a9a467df2f5823d552aa45148b0508df0989a10a3	2	IDX_0000552,IDX_0001754
FAMILY	385fb85ba95e372ef19e44d7bde8d214ad569de43b95fae75568791818b203da	2	IDX_0000449,IDX_0000957
FAMILY	3e0ab9a6fb7eacef0c04c2134125e8af10032399da62cedb52d225170f198760	2	IDX_0000547,IDX_0001415
FAMILY	3f5ddc1a0f116cf5f66a7b54b4c9f7900bb8863652bd0067188b0360272c3dc4	2	IDX_0000218,IDX_0000795
FAMILY	469c00fd547d258a4c0a1b32a68a2026a82d33975f9e1c64574e3646830e26cb	2	IDX_0001610,IDX_0001658
FAMILY	47de4d7ccd1678c15f520c177dde8ae544c55aaf0664d92008f53cb5b6b56375	2	IDX_0001024,IDX_0001263
FAMILY	4a993c25af984585b9feb74653d4d32172f26f864a409ea9199380955cfc667e	2	IDX_0001193,IDX_0001271
FAMILY	4ef9ab41b84cfbedfb92a5edc7cbcfc97e9deb21f5bf58a9d664c6053e62a829	2	IDX_0001580,IDX_0001749
FAMILY	4f2adf804fe60812b3aa74bf901e5fdbdbd690ab42ffff475635be1860f41045	2	IDX_0000135,IDX_0000249
FAMILY	51b2e25a3202998d0e8ad0cb3e147bf351431adda1b1385969eeb2c5bc89741a	2	IDX_0000621,IDX_0001612
FAMILY	5496e71042335b09ad19f4dffe2008f6955efa97308e75156097dfac4c8b2b61	2	IDX_0000645,IDX_0001268
