pattern_id	rank	neighbor_id	similarity	distance	combined_similarity	rhythm_similarity	strength_similarity	strength_shared_exact_hits	alpha	exact_matches	adjacent_matches	family_details
IDX_0000001	1	IDX_0001006	0.820000	0.180000	0.820000	0.800000	1.000000	12	0.100000	12	0	KK:4/4:E3:A0;HH:10/11:E9:A0
IDX_0000001	2	IDX_0000488	0.807143	0.192857	0.807143	0.785714	1.000000	14	0.100000	14	0	KK:4/8:E4:A0;HH:10/10:E10:A0
IDX_0000001	3	IDX_0000610	0.800000	0.200000	0.800000	0.777778	1.000000	10	0.100000	10	0	KK:4/2:E2:A0;HH:10/8:E8:A0
IDX_0000001	4	IDX_0001027	0.800000	0.200000	0.800000	0.777778	1.000000	10	0.100000	10	0	KK:4/2:E2:A0;HH:10/8:E8:A0
IDX_0000001	5	IDX_0000018	0.799796	0.200204	0.799796	0.777551	1.000000	12	0.100000	12	1	KK:4/5:E3:A1;HH:10/12:E9:A0
IDX_0000001	6	IDX_0001056	0.787273	0.212727	0.787273	0.763636	1.000000	13	0.100000	13	0	KK:4/8:E4:A0;HH:10/9:E9:A0
IDX_0000001	7	IDX_0000656	0.784000	0.216000	0.784000	0.760000	1.000000	13	0.100000	13	0	KK:4/4:E3:A0;HH:10/16:E10:A0
IDX_0000001	8	IDX_0000755	0.782759	0.217241	0.782759	0.758621	1.000000	14	0.100000	14	0	KK:4/8:E4:A0;HH:10/12:E10:A0
IDX_0000001	9	IDX_0001346	0.782759	0.217241	0.782759	0.758621	1.000000	14	0.100000	14	0	KK:4/8:E4:A0;HH:10/12:E10:A0
IDX_0000001	10	IDX_0000179	0.780000	0.220000	0.780000	0.755556	1.000000	11	0.100000	11	0	KK:4/5:E3:A0;HH:10/8:E8:A0
IDX_0000001	11	IDX_0001289	0.780000	0.220000	0.780000	0.755556	1.000000	11	0.100000	11	0	KK:4/3:E3:A0;SN:0/2:E0:A0;HH:10/8:E8:A0
IDX_0000001	12	IDX_0000410	0.770588	0.229412	0.770588	0.745098	1.000000	13	0.100000	13	0	KK:4/3:E3:A0;SN:0/3:E0:A0;HH:10/11:E10:A0
IDX_0000001	13	IDX_0000560	0.748000	0.252000	0.748000	0.720000	1.000000	12	0.100000	12	0	KK:4/6:E3:A0;HH:10/10:E9:A0
IDX_0000001	14	IDX_0000568	0.748000	0.252000	0.748000	0.720000	1.000000	12	0.100000	12	0	KK:4/6:E3:A0;HH:10/10:E9:A0
IDX_0000001	15	IDX_0000171	0.745283	0.254717	0.745283	0.716981	1.000000	13	0.100000	13	0	KK:4/3:E3:A0;SN:0/2:E0:A0;HH:10/16:E10:A0
IDX_0000001	16	IDX_0001106	0.744464	0.255536	0.744464	0.716071	1.000000	13	0.100000	13	1	KK:4/6:E3:A1;HH:10/16:E10:A0
IDX_0000001	17	IDX_0001711	0.737500	0.262500	0.737500	0.708333	1.000000	11	0.100000	11	0	KK:4/4:E3:A0;SN:0/2:E0:A0;HH:10/8:E8:A0
IDX_0000001	18	IDX_0000137	0.735294	0.264706	0.735294	0.705882	1.000000	4	0.100000	4	0	KK:4/4:E4:A0;HH:10/0:E0:A0
